ID Tema,Nome Tema,Link Tema,ID Serviço,Nome Serviço,Link Serviço
655,"Elevador, escada rolante, esteira rolante, plataforma de elevação",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=655,,,
660,Documentações de ruas e logradouros,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=660,,,
652,Centro de Formação Cultural da Cidade Tiradentes,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=652,,,
657,"Locais com lotação superior a 250 pessoas (cinemas, teatros, casas de shows)",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=657,,,
654,"Obras, imóveis e habitação",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=654,4174,COHAB - Solicitar cópia de planta do imóvel,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4174
,,,908,Denunciar falta de limpeza de terrenos e imóveis particulares,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=908
,,,2622,Denunciar loteamento irregular ou clandestino,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=2622
,,,928,Denunciar material de construção depositado em vias públicas,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=928
,,,909,Denunciar terreno com muro danificado/inexistente,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=909
,,,2777,"Muro, passeio e limpeza - comunicar regularização após multa",https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2777
,,,3248,Regularizar imóveis e edificações,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=3248
,,,3789,Unidade habitacional - Fale com a Secretaria Municipal de Habitação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3789
664,Telecentros,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=664,,,
667,Iluminação pública,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=667,,,
665,Fab Lab,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=665,,,
661,Documentações de edificações,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=661,,,
670,Consulta de débitos e DUC,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=670,,,
669,Cadastro de Contribuintes Mobiliários (CCM),https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=669,,,
663,WiFi Livre SP,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=663,,,
666,Educação,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=666,2574,Inscrição / Renovação do Certificado de Registro Municipal – CRMPF/PJ,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2574
,,,2461,Leve Leite - Cadastro,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2461
,,,1756,Leve Leite - Consultar entrega do leite,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1756
,,,1757,Leve Leite - Reclamação da qualidade do leite,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1757
,,,4461,Reclamação da Conservação e Manutenção do Veículo,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4461
,,,2573,Transporte Escolar - Solicitar ou Renovar o Certificado de Registro Municipal de Condutores (CRM-C),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2573
